TransactionID,CustomerID,ProductID,Quantity,UnitPrice,Discount,Region,PaymentMethod,InvoiceDate,Year,Month,Weekday,TotalSales,EffectivePrice
10000,1102,319,3,100.9,0.25,Kano,Card,2023-06-02,2023,6,Friday,227.02500000000003,75.67500000000001
10001,1435,325,9,134.57,0.27,Abuja,Card,2023-07-21,2023,7,Friday,884.1248999999999,98.2361
10002,1860,254,1,258.73,0.06,Port Harcourt,POS,2023-11-17,2023,11,Friday,243.20620000000002,243.2062
10003,1270,226,5,168.65,0.19,Port Harcourt,Transfer,2024-04-08,2024,4,Monday,683.0325,136.6065
10004,1106,317,2,430.95,0.28,Port Harcourt,Card,2023-01-11,2023,1,Wednesday,620.568,310.284
10005,1071,252,4,239.51,0.14,Abuja,Transfer,2024-08-02,2024,8,Friday,823.9143999999999,205.9786
10006,1700,238,1,400.79,0.03,Lagos,POS,2023-08-15,2023,8,Tuesday,388.7663,388.7663
10007,1020,264,3,250.315,0.14,Kano,Card,2024-09-24,2024,9,Tuesday,645.8127,215.27089999999998
10008,1614,344,7,387.68,0.11,Lagos,Card,2023-11-29,2023,11,Wednesday,2415.2464,345.03520000000003
10009,1121,357,3,169.67,0.17,Lagos,Card,2024-04-13,2024,4,Saturday,422.4783,140.8261
10010,1466,380,4,416.55,0.13,Kano,Card,2023-01-15,2023,1,Sunday,1449.594,362.3985
10011,1214,212,2,250.315,0.01,Port Harcourt,Cash,2023-02-26,2023,2,Sunday,495.6237,247.81185
10012,1330,220,3,275.32,0.3,Port Harcourt,Transfer,2023-11-26,2023,11,Sunday,578.172,192.724
10013,1458,346,9,110.93,0.16,Port Harcourt,Transfer,2023-03-05,2023,3,Sunday,838.6308000000001,93.1812
10014,1087,252,3,240.39,0.14,Port Harcourt,Transfer,2023-08-18,2023,8,Friday,620.2062,206.7354
10015,1372,218,5,162.5,0.29,Abuja,POS,2023-01-11,2023,1,Wednesday,576.875,115.375
10016,1099,256,2,137.02,0.05,Lagos,Cash,2024-09-24,2024,9,Tuesday,260.338,130.169
10017,1871,224,4,483.66,0.06,Lagos,Transfer,2023-08-12,2023,8,Saturday,1818.5616,454.6404
10018,1663,230,7,84.24,0.24,Lagos,Transfer,2024-09-28,2024,9,Saturday,448.1568,64.02239999999999
10019,1130,280,7,394.73,0.08,Port Harcourt,Card,2024-10-21,2024,10,Monday,2542.0612,363.15160000000003
10020,1661,382,3,492.16,0.24,Port Harcourt,Card,2024-06-25,2024,6,Tuesday,1122.1248,374.0416
10021,1308,222,5,14.85,0.08,Port Harcourt,Card,2024-05-20,2024,5,Monday,68.31,13.662
10022,1769,231,1,351.02,0.01,Kano,Transfer,2024-06-05,2024,6,Wednesday,347.5098,347.5098
10023,1343,389,1,130.19,0.16,Port Harcourt,Card,2023-02-23,2023,2,Thursday,109.3596,109.3596
10024,1491,273,5,25.04,0.06,Abuja,Transfer,2024-11-28,2024,11,Thursday,117.68799999999999,23.537599999999998
10025,1413,209,9,204.43,0.23,Abuja,POS,2024-12-19,2024,12,Thursday,1416.6999,157.4111
10026,1805,399,1,467.93,0.19,Port Harcourt,POS,2023-06-06,2023,6,Tuesday,379.0233,379.0233
10027,1385,253,1,10.82,0.28,Port Harcourt,Cash,2024-10-02,2024,10,Wednesday,7.7904,7.7904
10028,1191,251,4,296.0,0.23,Port Harcourt,Cash,2024-07-23,2024,7,Tuesday,911.6800000000001,227.92000000000002
10029,1955,347,4,253.19,0.05,Port Harcourt,Card,2024-02-09,2024,2,Friday,962.122,240.5305
10030,1276,359,2,437.33,0.24,Abuja,Card,2024-02-03,2024,2,Saturday,664.7416,332.3708
10031,1160,313,9,46.58,0.19,Port Harcourt,Cash,2024-12-07,2024,12,Saturday,339.5682,37.729800000000004
10032,1459,213,9,342.36,0.2,Abuja,Cash,2024-02-07,2024,2,Wednesday,2464.992,273.88800000000003
10033,1313,377,2,341.65,0.25,Port Harcourt,Cash,2024-08-10,2024,8,Saturday,512.4749999999999,256.23749999999995
10034,1021,355,9,336.19,0.17,Port Harcourt,Cash,2023-03-30,2023,3,Thursday,2511.3393,279.0377
10035,1252,309,6,471.46,0.14,Kano,Transfer,2024-08-15,2024,8,Thursday,2432.7335999999996,405.4556
10036,1747,252,8,412.43,0.19,Port Harcourt,Card,2023-07-05,2023,7,Wednesday,2672.5464,334.0683
10037,1856,351,4,25.78,0.09,Port Harcourt,Cash,2023-03-20,2023,3,Monday,93.8392,23.4598
10038,1560,278,2,238.19,0.05,Port Harcourt,Transfer,2023-05-25,2023,5,Thursday,452.561,226.2805
10039,1474,221,2,201.99,0.18,Lagos,Cash,2024-10-02,2024,10,Wednesday,331.2636,165.63180000000003
10040,1058,229,9,158.52,0.07,Lagos,Transfer,2023-01-14,2023,1,Saturday,1326.8124,147.4236
10041,1510,390,1,228.41,0.02,Abuja,POS,2024-09-22,2024,9,Sunday,223.8418,223.8418
10042,1681,203,7,195.18,0.0,Kano,Transfer,2023-01-02,2023,1,Monday,1366.26,195.18
10043,1475,258,3,219.01,0.18,Lagos,Cash,2024-05-30,2024,5,Thursday,538.7646,179.5882
10044,1699,207,3,489.73,0.11,Kano,Transfer,2023-03-07,2023,3,Tuesday,1307.5791,435.85970000000003
10045,1975,211,2,48.87,0.23,Port Harcourt,Cash,2023-09-03,2023,9,Sunday,75.2598,37.6299
10046,1782,318,6,461.5,0.11,Abuja,POS,2024-08-24,2024,8,Saturday,2464.41,410.735
10047,1189,358,2,242.72,0.15,Kano,POS,2024-03-05,2024,3,Tuesday,412.624,206.31199999999998
10048,1957,233,4,313.75,0.12,Lagos,Transfer,2024-11-20,2024,11,Wednesday,1104.4,276.1
10049,1686,281,9,415.94,0.2,Port Harcourt,Cash,2024-07-25,2024,7,Thursday,2994.768,332.752
10050,1957,297,9,183.43,0.11,Port Harcourt,POS,2023-08-20,2023,8,Sunday,1469.2743,163.2527
10051,1562,326,6,218.06,0.29,Port Harcourt,Transfer,2024-03-11,2024,3,Monday,928.9356000000001,154.8226
10052,1875,274,4,207.71,0.28,Lagos,Transfer,2023-12-19,2023,12,Tuesday,598.2048,149.5512
10053,1566,304,7,190.49,0.25,Lagos,Transfer,2024-11-18,2024,11,Monday,1000.0725,142.8675
10054,1243,248,1,463.14,0.28,Port Harcourt,POS,2024-11-09,2024,11,Saturday,333.46079999999995,333.4608
10055,1831,278,4,415.32,0.13,Port Harcourt,Card,2024-01-18,2024,1,Thursday,1445.3136,361.3284
10056,1504,384,5,58.95,0.16,Kano,Cash,2024-12-10,2024,12,Tuesday,247.59,49.518
10057,1130,292,8,58.52,0.22,Kano,Cash,2023-03-01,2023,3,Wednesday,365.1648,45.6456
10058,1484,353,2,216.8,0.21,Port Harcourt,Cash,2024-04-14,2024,4,Sunday,342.54400000000004,171.27200000000002
10059,1818,217,5,53.84,0.27,Kano,Cash,2024-02-15,2024,2,Thursday,196.51600000000002,39.303200000000004
10060,1646,295,6,311.45,0.21,Port Harcourt,Card,2023-03-24,2023,3,Friday,1476.273,246.0455
10061,1020,237,5,76.13,0.3,Port Harcourt,Cash,2023-03-15,2023,3,Wednesday,266.455,53.291
10062,1840,286,9,263.57,0.1,Lagos,Transfer,2023-11-07,2023,11,Tuesday,2134.917,237.213
10063,1166,287,1,8.57,0.25,Abuja,Cash,2024-03-29,2024,3,Friday,6.4275,6.4275
10064,1273,249,3,161.72,0.21,Lagos,Cash,2023-01-26,2023,1,Thursday,383.27639999999997,127.75880000000001
10065,1387,207,2,340.21,0.21,Kano,POS,2024-03-01,2024,3,Friday,537.5318,268.7659
10066,1600,368,3,244.6,0.1,Abuja,Cash,2024-01-12,2024,1,Friday,660.42,220.14
10067,1315,333,9,489.24,0.24,Port Harcourt,Cash,2023-08-31,2023,8,Thursday,3346.4016,371.8224
10068,1013,268,9,437.68,0.27,Kano,Transfer,2024-09-19,2024,9,Thursday,2875.5576,319.5064
10069,1241,371,2,182.74,0.07,Port Harcourt,Transfer,2023-11-19,2023,11,Sunday,339.8964,169.94819999999999
10070,1776,320,3,27.52,0.19,Kano,POS,2023-06-29,2023,6,Thursday,66.8736,22.2912
10071,1345,263,4,423.59,0.12,Abuja,Transfer,2024-09-17,2024,9,Tuesday,1491.0367999999999,372.75919999999996
10072,1564,356,9,456.06,0.3,Abuja,Card,2023-09-23,2023,9,Saturday,2873.178,319.24199999999996
