TransactionID,CustomerID,ProductID,Quantity,UnitPrice,Discount,Region,PaymentMethod,InvoiceDate
10000,1102,319,3,100.9,0.25,Kano,Card,2023-06-02
10001,1435,325,9,134.57,0.27,Abuja,Card,2023-07-21
10002,1860,254,1,258.73,0.06,Port Harcourt,POS,2023-11-17
10003,1270,226,5,168.65,0.19,Port Harcourt,Transfer,2024-04-08
10004,1106,317,2,430.95,0.28,,Card,2023-01-11
10005,1071,252,4,239.51,0.14,Abuja,Transfer,2024-08-02
10006,1700,238,1,400.79,0.03,Lagos,POS,2023-08-15
10007,1020,264,3,,0.14,Kano,Card,2024-09-24
10008,1614,344,7,387.68,0.11,Lagos,Card,2023-11-29
10009,1121,357,3,169.67,0.17,Lagos,Card,2024-04-13
10010,1466,380,4,416.55,0.13,Kano,Card,2023-01-15
10011,1214,212,2,,0.01,Port Harcourt,Cash,2023-02-26
10012,1330,220,3,275.32,0.3,,Transfer,2023-11-26
10013,1458,346,9,110.93,0.16,Port Harcourt,Transfer,2023-03-05
10014,1087,252,3,240.39,0.14,Port Harcourt,Transfer,2023-08-18
10015,1372,218,5,162.5,0.29,Abuja,POS,2023-01-11
10016,1099,256,2,137.02,0.05,Lagos,Cash,2024-09-24
10017,1871,224,4,483.66,0.06,Lagos,Transfer,2023-08-12
10018,1663,230,7,84.24,0.24,Lagos,Transfer,2024-09-28
10019,1130,280,7,394.73,0.08,,Card,2024-10-21
10020,1661,382,3,492.16,0.24,,Card,2024-06-25
10021,1308,222,5,14.85,0.08,,Card,2024-05-20
10022,1769,231,1,351.02,0.01,Kano,Transfer,2024-06-05
10023,1343,389,1,130.19,0.16,,Card,2023-02-23
10024,1491,273,5,25.04,0.06,Abuja,Transfer,2024-11-28
10025,1413,209,9,204.43,0.23,Abuja,POS,2024-12-19
10026,1805,399,1,467.93,0.19,Port Harcourt,POS,2023-06-06
10027,1385,253,1,10.82,0.28,Port Harcourt,,2024-10-02
10028,1191,251,4,296.0,0.23,Port Harcourt,Cash,2024-07-23
10029,1955,347,4,253.19,0.05,Port Harcourt,Card,2024-02-09
10030,1276,359,2,437.33,0.24,Abuja,Card,2024-02-03
10031,1160,313,9,46.58,0.19,Port Harcourt,Cash,2024-12-07
10032,1459,213,9,342.36,0.2,Abuja,Cash,2024-02-07
10033,1313,377,2,341.65,0.25,,,2024-08-10
10034,1021,355,9,336.19,0.17,,Cash,2023-03-30
10035,1252,309,6,471.46,0.14,Kano,Transfer,2024-08-15
10036,1747,252,8,412.43,0.19,Port Harcourt,Card,2023-07-05
10037,1856,351,4,25.78,0.09,,Cash,2023-03-20
10038,1560,278,2,238.19,0.05,,Transfer,2023-05-25
10039,1474,221,2,201.99,0.18,Lagos,Cash,2024-10-02
10040,1058,229,9,158.52,0.07,Lagos,Transfer,2023-01-14
10041,1510,390,1,228.41,0.02,Abuja,POS,2024-09-22
10042,1681,203,7,195.18,0.0,Kano,Transfer,2023-01-02
10043,1475,258,3,219.01,0.18,Lagos,,2024-05-30
10044,1699,207,3,489.73,0.11,Kano,Transfer,2023-03-07
10045,1975,211,2,48.87,0.23,,Cash,2023-09-03
10046,1782,318,6,461.5,0.11,Abuja,POS,2024-08-24
10047,1189,358,2,242.72,0.15,Kano,POS,2024-03-05
10048,1957,233,4,313.75,0.12,Lagos,Transfer,2024-11-20
10049,1686,281,9,415.94,0.2,,Cash,2024-07-25
10050,1957,297,9,183.43,0.11,Port Harcourt,POS,2023-08-20
10051,1562,326,6,218.06,0.29,,Transfer,2024-03-11
10052,1875,274,4,207.71,0.28,Lagos,Transfer,2023-12-19
10053,1566,304,7,190.49,0.25,Lagos,Transfer,2024-11-18
10054,1243,248,1,463.14,0.28,Port Harcourt,POS,2024-11-09
10055,1831,278,4,415.32,0.13,,Card,2024-01-18
10056,1504,384,5,58.95,0.16,Kano,Cash,2024-12-10
10057,1130,292,8,58.52,0.22,Kano,,2023-03-01
10058,1484,353,2,216.8,0.21,,,2024-04-14
10059,1818,217,5,53.84,0.27,Kano,Cash,2024-02-15
10060,1646,295,6,311.45,0.21,,Card,2023-03-24
10061,1020,237,5,76.13,0.3,,Cash,2023-03-15
10062,1840,286,9,263.57,0.1,Lagos,Transfer,2023-11-07
10063,1166,287,1,8.57,0.25,Abuja,Cash,2024-03-29
10064,1273,249,3,161.72,0.21,Lagos,Cash,2023-01-26
10065,1387,207,2,340.21,0.21,Kano,POS,2024-03-01
10066,1600,368,3,244.6,0.1,Abuja,,2024-01-12
10067,1315,333,9,489.24,0.24,,,2023-08-31
10068,1013,268,9,437.68,0.27,Kano,Transfer,2024-09-19
10069,1241,371,2,182.74,0.07,Port Harcourt,Transfer,2023-11-19
10070,1776,320,3,27.52,0.19,Kano,POS,2023-06-29
10071,1345,263,4,423.59,0.12,Abuja,Transfer,2024-09-17
10072,1564,356,9,456.06,0.3,Abuja,Card,2023-09-23
10073,1897,355,3,411.21,0.14,,POS,2024-07-03
10074,1339,338,7,68.34,0.07,Port Harcourt,POS,2024-01-15
10075,1091,320,3,498.97,0.11,,Cash,2023-03-18
10076,1366,264,7,133.0,0.2,Port Harcourt,Cash,2024-09-05
